time;gFx;gFy;gFz;ax;ay;az;wx;wy;wz;P
0.015;0.02;0.00;1.00;0.00;0.01;0.01;0.00;-0.00;0.00;0.00
0.033;0.02;0.00;1.00;-0.00;-0.00;-0.01;0.00;-0.00;0.00;0.00
0.067;0.02;0.00;1.00;-0.00;-0.00;-0.01;0.00;-0.00;0.00;0.00
0.068;0.02;0.00;1.00;-0.00;-0.00;-0.01;0.00;-0.00;0.00;0.00
0.069;0.02;0.00;1.00;-0.00;-0.00;-0.01;0.00;-0.00;0.00;0.00
0.069;0.02;0.00;1.00;-0.00;-0.00;-0.01;0.00;-0.00;0.00;0.00
0.073;0.02;0.00;1.00;-0.00;-0.00;-0.01;0.00;0.00;-0.00;0.00
0.084;0.02;0.00;1.00;0.00;-0.00;0.01;0.00;0.00;-0.00;0.00
0.129;0.02;0.00;1.00;0.00;-0.00;0.01;0.00;0.00;-0.00;0.00
0.13;0.02;0.00;1.00;0.00;-0.00;0.01;0.00;0.00;-0.00;0.00
0.13;0.02;0.00;1.00;0.00;-0.00;0.01;0.00;0.00;-0.00;0.00
0.131;0.02;0.00;1.00;0.00;-0.00;0.01;-0.00;0.00;0.00;0.00
0.141;0.02;0.00;1.00;-0.01;0.00;0.01;-0.00;0.00;0.00;0.00
0.192;0.02;0.00;1.00;-0.01;0.00;0.01;-0.00;0.00;0.00;0.00
0.201;0.02;0.00;1.00;-0.01;0.00;0.01;-0.00;0.00;0.00;0.00
0.201;0.02;0.00;1.00;-0.01;0.00;0.01;-0.00;0.00;0.00;0.00
0.202;0.02;0.00;1.00;-0.01;0.00;0.01;-0.00;0.00;0.00;0.00
0.202;0.02;0.00;1.00;-0.01;0.00;0.01;-0.00;0.00;0.00;0.00
0.203;0.02;0.00;1.00;-0.00;-0.00;0.00;-0.00;0.00;0.00;0.00
0.252;0.02;0.00;1.00;-0.00;-0.00;0.00;0.00;-0.00;0.00;0.00
0.258;0.02;0.00;1.00;-0.00;-0.00;0.00;0.00;-0.00;0.00;0.00
0.259;0.02;0.00;1.00;-0.00;-0.00;0.00;0.00;-0.00;0.00;0.00
0.263;0.02;0.00;1.00;-0.00;-0.00;0.00;0.00;-0.00;0.00;0.00
0.312;0.02;0.00;1.00;-0.00;-0.00;0.00;-0.00;0.00;-0.00;0.00
0.327;0.02;0.00;1.00;0.00;0.00;0.00;-0.00;0.00;-0.00;0.00
0.328;0.02;0.00;1.00;0.00;0.00;0.00;-0.00;0.00;-0.00;0.00
0.328;0.02;0.01;1.00;0.00;0.00;0.00;-0.00;0.00;-0.00;0.00
0.328;0.02;0.00;1.00;0.00;0.00;0.00;-0.00;0.00;-0.00;0.00
0.329;0.02;0.00;1.00;0.00;0.00;0.00;-0.00;0.00;-0.00;0.00
0.373;0.02;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
0.383;0.02;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
0.395;0.02;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
0.396;0.02;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
0.397;0.02;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
0.434;0.02;0.00;1.00;0.00;0.00;0.00;0.00;-0.00;-0.00;0.00
0.446;0.02;0.00;1.00;-0.00;0.00;-0.02;0.00;-0.00;-0.00;0.00
0.464;0.02;0.00;1.00;-0.00;0.00;-0.02;0.00;-0.00;-0.00;0.00
0.465;0.02;0.01;1.00;-0.00;0.00;-0.02;0.00;-0.00;-0.00;0.00
0.465;0.02;0.00;1.00;-0.00;0.00;-0.02;0.00;-0.00;-0.00;0.00
0.466;0.02;0.00;1.00;-0.00;0.00;-0.02;0.00;-0.00;-0.00;0.00
0.494;0.02;0.00;1.00;-0.00;0.00;-0.02;0.00;0.00;0.00;0.00
0.504;0.02;0.00;1.00;0.01;0.00;-0.01;0.00;0.00;0.00;0.00
0.534;0.02;0.00;1.00;0.01;0.00;-0.01;0.00;0.00;0.00;0.00
0.535;0.02;0.01;1.00;0.01;0.00;-0.01;0.00;0.00;0.00;0.00
0.535;0.02;0.00;1.00;0.01;0.00;-0.01;0.00;0.00;0.00;0.00
0.554;0.02;0.00;1.00;0.01;0.00;-0.01;-0.00;0.00;-0.00;0.00
0.564;0.02;0.00;1.00;0.00;0.00;-0.00;-0.00;0.00;-0.00;0.00
0.607;0.02;0.00;1.00;0.00;0.00;-0.00;-0.00;0.00;-0.00;0.00
0.609;0.02;0.00;1.00;0.00;0.00;-0.00;-0.00;0.00;-0.00;0.00
0.609;0.02;0.00;1.00;0.00;0.00;-0.00;-0.00;0.00;-0.00;0.00
0.61;0.02;0.00;1.00;0.00;0.00;-0.00;-0.00;0.00;-0.00;0.00
0.614;0.02;0.00;1.00;0.00;0.00;-0.00;-0.00;0.00;0.00;0.00
0.626;0.02;0.00;1.00;-0.00;0.00;-0.00;-0.00;0.00;0.00;0.00
