fra;week;P_f;P_h;P;T_f;T_h;T;cl_age90
FR;2020-S21;64;56;125;5263;6192;11683;09
FR;2020-S21;146;95;247;6167;6160;12480;19
FR;2020-S21;304;241;548;16589;11951;28735;29
FR;2020-S21;277;226;514;19254;13255;32713;39
FR;2020-S21;313;250;566;18591;13163;31976;49
FR;2020-S21;302;256;560;18952;14158;33313;59
FR;2020-S21;189;219;411;13750;12964;26928;69
FR;2020-S21;204;231;436;11400;11601;23160;79
FR;2020-S21;447;225;672;12952;8381;21458;89
FR;2020-S21;446;107;555;9153;2924;12154;90
FR;2020-S21;2692;1909;4640;132100;100797;234710;0
FR;2020-S22;56;59;130;6063;7262;13645;09
FR;2020-S22;107;169;277;7678;8397;16293;19
FR;2020-S22;278;289;573;17705;13917;31916;29
FR;2020-S22;266;234;504;19964;14535;34792;39
FR;2020-S22;281;255;538;19389;14300;33944;49
FR;2020-S22;269;176;449;20125;15367;35753;59
FR;2020-S22;171;171;345;15173;14585;29982;69
FR;2020-S22;141;141;287;12670;13117;26010;79
FR;2020-S22;286;150;439;13749;8945;22869;89
FR;2020-S22;317;59;376;8698;2872;11623;90
FR;2020-S22;2173;1704;3952;141275;113363;257098;0
FR;2020-S23;44;55;109;4595;5626;10433;09
FR;2020-S23;89;91;184;6363;6531;13098;19
FR;2020-S23;222;196;423;13066;10858;24185;29
FR;2020-S23;247;191;446;14593;11202;26049;39
FR;2020-S23;229;195;430;14005;11011;25269;49
FR;2020-S23;210;171;384;14861;12342;27510;59
FR;2020-S23;132;149;284;12283;12628;25182;69
FR;2020-S23;117;116;235;10900;11441;22591;79
FR;2020-S23;216;120;336;10991;7424;18587;89
FR;2020-S23;210;55;266;6711;2319;9113;90
FR;2020-S23;1716;1346;3130;108409;91419;202203;0
FR;2020-S24;73;96;197;4562;5230;11078;09
FR;2020-S24;113;103;256;6253;6231;14488;19
FR;2020-S24;230;213;498;12698;10043;26003;29
FR;2020-S24;267;215;519;14272;10741;28489;39
FR;2020-S24;213;194;449;13527;10935;27975;49
FR;2020-S24;179;183;402;13983;12174;29862;59
FR;2020-S24;116;140;280;12128;12746;28075;69
FR;2020-S24;103;108;223;10962;11512;24971;79
FR;2020-S24;129;75;229;10274;7135;18957;89
FR;2020-S24;118;32;162;5700;2094;8380;90
FR;2020-S24;1541;1359;3216;104393;88874;218395;0
FR;2020-S25;100;91;231;4547;5216;11523;09
FR;2020-S25;157;142;340;6463;6301;15333;19
FR;2020-S25;258;223;553;11781;9212;24856;29
FR;2020-S25;308;285;659;13437;10211;27856;39
FR;2020-S25;236;228;532;12742;10153;27215;49
FR;2020-S25;201;182;426;13048;11429;29074;59
FR;2020-S25;134;131;292;12407;12125;28766;69
FR;2020-S25;95;103;223;11066;11183;25934;79
FR;2020-S25;102;79;201;9828;7059;19207;89
FR;2020-S25;72;22;101;5139;1987;8097;90
FR;2020-S25;1664;1486;3568;100484;84908;217978;0
FR;2020-S26;99;104;212;7945;8948;17196;09
FR;2020-S26;202;161;372;9846;9905;19923;19
FR;2020-S26;320;319;650;15937;12429;28432;29
FR;2020-S26;346;299;652;17754;13556;31367;39
FR;2020-S26;260;273;537;16295;13438;29794;49
FR;2020-S26;211;224;439;16531;14109;30692;59
FR;2020-S26;137;132;272;14836;14735;29602;69
FR;2020-S26;83;112;195;12696;13218;25940;79
FR;2020-S26;95;63;158;10985;7972;18975;89
FR;2020-S26;66;21;87;6022;2138;8162;90
FR;2020-S26;1821;1710;3578;128879;110480;240177;0
FR;2020-S27;118;115;251;15259;17147;32864;09
FR;2020-S27;189;191;390;14415;14186;28855;19
FR;2020-S27;343;312;669;20380;15171;35650;29
FR;2020-S27;357;323;690;23906;17709;41686;39
FR;2020-S27;279;283;569;20400;17226;37685;49
FR;2020-S27;221;233;460;19371;16442;35856;59
FR;2020-S27;162;168;333;17034;16363;33447;69
FR;2020-S27;84;93;178;13968;14112;28097;79
FR;2020-S27;98;61;159;11750;8150;19911;89
FR;2020-S27;69;17;90;6330;2257;8621;90
FR;2020-S27;1922;1799;3835;162849;138830;302860;0
FR;2020-S28;147;118;270;16193;18148;34940;09
FR;2020-S28;219;228;451;16297;15141;31707;19
FR;2020-S28;402;326;734;25188;18092;43403;29
FR;2020-S28;379;297;685;32242;22836;55152;39
FR;2020-S28;313;282;599;24703;20321;45078;49
FR;2020-S28;235;259;498;22566;18506;41124;59
FR;2020-S28;171;179;352;19404;18234;37666;69
FR;2020-S28;93;116;209;14606;15015;29648;79
FR;2020-S28;73;47;120;11385;8195;19594;89
FR;2020-S28;46;15;61;5899;2126;8028;90
FR;2020-S28;2078;1867;3989;188525;156706;346525;0
FR;2020-S29;106;148;261;11918;13757;26121;09
FR;2020-S29;218;263;488;17791;16994;35112;19
FR;2020-S29;437;386;829;29897;21716;51694;29
FR;2020-S29;421;410;835;33542;25754;59384;39
FR;2020-S29;326;320;653;25335;22103;47506;49
FR;2020-S29;278;294;573;23324;19658;43013;59
FR;2020-S29;191;197;388;21090;19098;40214;69
FR;2020-S29;131;139;270;15356;15301;30680;79
FR;2020-S29;69;58;127;11101;8077;19193;89
FR;2020-S29;44;13;57;5285;2085;7376;90
FR;2020-S29;2222;2230;4498;194701;164695;360666;0
FR;2020-S30;161;169;334;12645;14269;27379;09
FR;2020-S30;383;335;725;21669;20862;42871;19
FR;2020-S30;807;669;1481;40605;30535;71285;29
FR;2020-S30;581;606;1190;41704;33397;75164;39
FR;2020-S30;437;465;907;32663;28754;61475;49
FR;2020-S30;414;363;783;31306;25841;57188;59
FR;2020-S30;292;259;554;26689;24031;50757;69
FR;2020-S30;191;188;379;19801;19048;38878;79
FR;2020-S30;104;74;178;13697;9981;23696;89
FR;2020-S30;60;23;83;6723;2492;9219;90
FR;2020-S30;3430;3154;6627;247609;209438;458321;0
FR;2020-S31;172;186;366;11873;13669;25929;09
FR;2020-S31;488;476;978;26229;25479;52147;19
FR;2020-S31;1141;1170;2317;48149;39654;87933;29
FR;2020-S31;752;793;1549;46703;39631;86430;39
FR;2020-S31;530;490;1023;38627;34867;73552;49
FR;2020-S31;506;459;967;36713;31402;68167;59
FR;2020-S31;344;289;633;29963;26964;56961;69
FR;2020-S31;166;185;353;21427;20767;42222;79
FR;2020-S31;120;92;213;14510;10462;24985;89
FR;2020-S31;69;18;87;6879;2649;9535;90
FR;2020-S31;4291;4164;8509;281157;245704;528136;0
FR;2020-S32;243;244;499;10897;12117;23416;09
FR;2020-S32;676;583;1269;25968;26310;52714;19
FR;2020-S32;1730;1688;3423;51673;43845;95686;29
FR;2020-S32;1067;1178;2251;46743;41337;88184;39
FR;2020-S32;779;736;1518;39480;35619;75163;49
FR;2020-S32;628;566;1195;37448;32340;69857;59
FR;2020-S32;420;367;788;29921;27141;57109;69
FR;2020-S32;217;300;517;21017;20693;41743;79
FR;2020-S32;166;135;301;13594;10284;23904;89
FR;2020-S32;84;41;125;6750;2505;9269;90
FR;2020-S32;6013;5844;11909;283586;252373;537365;0
FR;2020-S33;298;293;598;10412;11687;22455;09
FR;2020-S33;1046;867;1926;27737;27587;55757;19
FR;2020-S33;2574;2702;5279;56234;48540;104928;29
FR;2020-S33;1429;1688;3117;46534;42094;88705;39
FR;2020-S33;1125;1158;2285;39275;35387;74722;49
FR;2020-S33;907;968;1875;37050;32597;69698;59
FR;2020-S33;548;520;1068;28733;27118;55890;69
FR;2020-S33;309;344;654;19716;19596;39340;79
FR;2020-S33;198;156;354;13780;9723;23522;89
FR;2020-S33;108;36;144;7274;2551;9833;90
FR;2020-S33;8543;8733;17312;286821;257039;545148;0
FR;2020-S34;414;400;828;12052;13503;25988;09
FR;2020-S34;1617;1486;3115;36896;37935;75430;19
FR;2020-S34;4530;5014;9554;79137;69696;149072;29
FR;2020-S34;2354;2750;5107;61879;55719;117750;39
FR;2020-S34;1696;1812;3511;54657;47514;102264;49
FR;2020-S34;1459;1428;2889;52261;43453;95785;59
FR;2020-S34;830;867;1700;36999;34497;71558;69
FR;2020-S34;359;428;787;24726;23867;48629;79
FR;2020-S34;239;193;434;16296;11534;27863;89
FR;2020-S34;137;42;179;8448;2911;11376;90
FR;2020-S34;13640;14423;28120;383516;340864;726166;0
FR;2020-S35;611;611;1250;14498;16074;31177;09
FR;2020-S35;2468;2233;4731;45133;44922;90955;19
FR;2020-S35;6575;6684;13278;97022;81976;179345;29
FR;2020-S35;3439;3736;7187;79695;65854;145799;39
FR;2020-S35;2467;2346;4824;72222;56246;128662;49
FR;2020-S35;2131;1924;4064;68240;53273;121702;59
FR;2020-S35;1182;1161;2345;45571;40485;86189;69
FR;2020-S35;595;608;1206;29228;27832;57125;79
FR;2020-S35;375;251;628;18486;12877;31410;89
FR;2020-S35;213;56;269;9443;3160;12633;90
FR;2020-S35;20065;19620;39829;479718;402966;885634;0
FR;2020-S36;925;966;1936;20424;22645;44042;09
FR;2020-S36;3592;3249;6904;44674;45052;90771;19
FR;2020-S36;7880;8111;16039;105290;87734;193486;29
FR;2020-S36;4547;4645;9211;88295;72312;160888;39
FR;2020-S36;3476;3129;6624;76242;60909;137406;49
FR;2020-S36;2996;2607;5612;71826;56228;128296;59
FR;2020-S36;1688;1666;3367;49995;44089;94318;69
FR;2020-S36;790;859;1652;31514;29814;61428;79
FR;2020-S36;573;413;989;19389;13389;32827;89
FR;2020-S36;325;112;438;9416;3243;12683;90
FR;2020-S36;26808;25765;52803;517268;435624;956594;0
FR;2020-S37;1477;1464;3011;55529;60080;118164;09
FR;2020-S37;4454;4531;9100;72243;72634;146753;19
