numer_sta;date;pmer;tend;cod_tend;dd;ff;t;td;u;vv;ww;w1;w2;n;nbas;hbas;cl;cm;ch;pres;niv_bar;geop;tend24;tn12;tn24;tx12;tx24;tminsol;sw;tw;raf10;rafper;per;etat_sol;ht_neige;ssfrai;perssfrai;rr1;rr3;rr6;rr12;rr24;phenspe1;phenspe2;phenspe3;phenspe4;nnuage1;ctype1;hnuage1;nnuage2;ctype2;hnuage2;nnuage3;ctype3;hnuage3;nnuage4;ctype4;hnuage4;
07005;20220801000000;101890;10;3;270;2.800000;290.550000;289.450000;93;20000;0;mq;mq;mq;mq;mq;mq;mq;mq;101040;mq;mq;-100;mq;mq;mq;mq;289.550000;mq;mq;4.500000;5.400000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;-0.100000;0.400000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07015;20220801000000;101830;40;3;250;3.100000;292.250000;289.450000;84;30480;0;mq;mq;100;8;450;mq;mq;mq;101280;mq;mq;-70;mq;mq;mq;mq;291.250000;mq;mq;6.200000;6.200000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;8;mq;420;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07020;20220801000000;101960;0;5;260;5.400000;291.350000;290.350000;94;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;101850;mq;mq;-120;mq;mq;mq;mq;mq;mq;mq;7.200000;7.800000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07027;20220801000000;102010;0;4;260;4.000000;291.650000;288.750000;83;49720;0;mq;mq;100;8;450;mq;mq;mq;101220;mq;mq;-110;mq;mq;mq;mq;293.450000;mq;mq;6.200000;8.100000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;-0.100000;-0.100000;mq;mq;mq;mq;7;mq;420;8;mq;600;mq;mq;mq;mq;mq;mq;
07037;20220801000000;101930;-30;6;280;3.500000;292.250000;288.750000;80;41760;0;mq;mq;100;8;450;mq;mq;mq;100090;mq;mq;-120;mq;mq;mq;mq;292.750000;mq;mq;6.900000;8.200000;-10;mq;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;-0.100000;mq;mq;mq;mq;2;mq;480;8;mq;720;mq;mq;mq;mq;mq;mq;
07072;20220801000000;101880;10;0;340;2.000000;289.350000;287.150000;87;20000;0;mq;mq;mq;0;mq;mq;mq;mq;100750;mq;mq;-120;mq;mq;mq;mq;287.950000;mq;mq;2.300000;3.300000;-10;0;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07110;20220801000000;102180;-20;6;300;1.800000;289.850000;289.650000;99;10860;0;mq;mq;100;8;250;mq;mq;mq;101020;mq;mq;-110;mq;mq;mq;mq;290.250000;mq;mq;3.100000;4.400000;-10;1;0.000000;mq;mq;0.000000;-0.100000;-0.100000;0.400000;0.600000;mq;mq;mq;mq;8;mq;210;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07117;20220801000000;102120;-20;6;250;4.400000;289.950000;289.650000;98;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;101430;mq;mq;-80;mq;mq;mq;mq;mq;mq;mq;7.400000;7.400000;-10;mq;mq;mq;mq;0.200000;0.400000;0.600000;0.600000;0.600000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07130;20220801000000;102090;20;0;350;2.900000;292.450000;290.050000;86;41440;0;mq;mq;100;8;450;mq;mq;mq;101650;mq;mq;-130;mq;mq;mq;mq;290.550000;mq;mq;4.700000;5.700000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;8;mq;330;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07139;20220801000000;102010;30;1;230;0.600000;291.550000;288.950000;85;20000;0;mq;mq;75;6;450;mq;mq;mq;100310;mq;mq;-110;mq;mq;mq;mq;293.950000;mq;mq;1.300000;3.300000;-10;0;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;6;mq;480;mq;mq;mq;mq;mq;mq;mq;mq;mq;
