id_compteur;nom_compteur;id;name;sum_counts;date;installation_date;coordinates;counter;
100003096-353242251;97 avenue Denfert Rochereau SO-NE;100003096;97 avenue Denfert Rochereau;6.0;2022-11-11T00:00:00+01:00;2012-02-22;48.83504,2.33314;X2H20012081;
100003096-353242251;97 avenue Denfert Rochereau SO-NE;100003096;97 avenue Denfert Rochereau;16.0;2022-11-11T01:00:00+01:00;2012-02-22;48.83504,2.33314;X2H20012081;
100003096-353242251;97 avenue Denfert Rochereau SO-NE;100003096;97 avenue Denfert Rochereau;9.0;2022-11-11T05:00:00+01:00;2012-02-22;48.83504,2.33314;X2H20012081;
100003096-353242251;97 avenue Denfert Rochereau SO-NE;100003096;97 avenue Denfert Rochereau;9.0;2022-11-11T06:00:00+01:00;2012-02-22;48.83504,2.33314;X2H20012081;
100003096-353242251;97 avenue Denfert Rochereau SO-NE;100003096;97 avenue Denfert Rochereau;33.0;2022-11-11T08:00:00+01:00;2012-02-22;48.83504,2.33314;X2H20012081;
100003096-353242251;97 avenue Denfert Rochereau SO-NE;100003096;97 avenue Denfert Rochereau;64.0;2022-11-11T13:00:00+01:00;2012-02-22;48.83504,2.33314;X2H20012081;
100003096-353242251;97 avenue Denfert Rochereau SO-NE;100003096;97 avenue Denfert Rochereau;65.0;2022-11-11T18:00:00+01:00;2012-02-22;48.83504,2.33314;X2H20012081;
100003096-353242251;97 avenue Denfert Rochereau SO-NE;100003096;97 avenue Denfert Rochereau;58.0;2022-11-11T20:00:00+01:00;2012-02-22;48.83504,2.33314;X2H20012081;
100003096-353242251;97 avenue Denfert Rochereau SO-NE;100003096;97 avenue Denfert Rochereau;33.0;2022-11-11T21:00:00+01:00;2012-02-22;48.83504,2.33314;X2H20012081;
100003096-353242251;97 avenue Denfert Rochereau SO-NE;100003096;97 avenue Denfert Rochereau;18.0;2022-11-11T22:00:00+01:00;2012-02-22;48.83504,2.33314;X2H20012081;
100003096-353242251;97 avenue Denfert Rochereau SO-NE;100003096;97 avenue Denfert Rochereau;12.0;2022-11-11T02:00:00+01:00;2012-02-22;48.83504,2.33314;X2H20012081;
100003096-353242251;97 avenue Denfert Rochereau SO-NE;100003096;97 avenue Denfert Rochereau;1.0;2022-11-11T04:00:00+01:00;2012-02-22;48.83504,2.33314;X2H20012081;
100003096-353242251;97 avenue Denfert Rochereau SO-NE;100003096;97 avenue Denfert Rochereau;15.0;2022-11-11T07:00:00+01:00;2012-02-22;48.83504,2.33314;X2H20012081;
100003096-353242251;97 avenue Denfert Rochereau SO-NE;100003096;97 avenue Denfert Rochereau;85.0;2022-11-11T10:00:00+01:00;2012-02-22;48.83504,2.33314;X2H20012081;
100003096-353242251;97 avenue Denfert Rochereau SO-NE;100003096;97 avenue Denfert Rochereau;108.0;2022-11-11T16:00:00+01:00;2012-02-22;48.83504,2.33314;X2H20012081;
100003096-353242251;97 avenue Denfert Rochereau SO-NE;100003096;97 avenue Denfert Rochereau;88.0;2022-11-11T17:00:00+01:00;2012-02-22;48.83504,2.33314;X2H20012081;
100003096-353242251;97 avenue Denfert Rochereau SO-NE;100003096;97 avenue Denfert Rochereau;67.0;2022-11-11T19:00:00+01:00;2012-02-22;48.83504,2.33314;X2H20012081;
100003096-353242251;97 avenue Denfert Rochereau SO-NE;100003096;97 avenue Denfert Rochereau;4.0;2022-11-11T03:00:00+01:00;2012-02-22;48.83504,2.33314;X2H20012081;
100003096-353242251;97 avenue Denfert Rochereau SO-NE;100003096;97 avenue Denfert Rochereau;67.0;2022-11-11T09:00:00+01:00;2012-02-22;48.83504,2.33314;X2H20012081;
100003096-353242251;97 avenue Denfert Rochereau SO-NE;100003096;97 avenue Denfert Rochereau;74.0;2022-11-11T11:00:00+01:00;2012-02-22;48.83504,2.33314;X2H20012081;
100003096-353242251;97 avenue Denfert Rochereau SO-NE;100003096;97 avenue Denfert Rochereau;92.0;2022-11-11T12:00:00+01:00;2012-02-22;48.83504,2.33314;X2H20012081;
100003096-353242251;97 avenue Denfert Rochereau SO-NE;100003096;97 avenue Denfert Rochereau;111.0;2022-11-11T14:00:00+01:00;2012-02-22;48.83504,2.33314;X2H20012081;
100003096-353242251;97 avenue Denfert Rochereau SO-NE;100003096;97 avenue Denfert Rochereau;108.0;2022-11-11T15:00:00+01:00;2012-02-22;48.83504,2.33314;X2H20012081;
100003096-353242251;97 avenue Denfert Rochereau SO-NE;100003096;97 avenue Denfert Rochereau;12.0;2022-11-11T23:00:00+01:00;2012-02-22;48.83504,2.33314;X2H20012081;
100003098-101003098;106 avenue Denfert Rochereau NE-SO;100003098;106 avenue Denfert Rochereau;68.0;2022-11-11T01:00:00+01:00;2012-02-22;48.83505,2.33333;Y2H16029278;
100003098-101003098;106 avenue Denfert Rochereau NE-SO;100003098;106 avenue Denfert Rochereau;52.0;2022-11-11T02:00:00+01:00;2012-02-22;48.83505,2.33333;Y2H16029278;
100003098-101003098;106 avenue Denfert Rochereau NE-SO;100003098;106 avenue Denfert Rochereau;3.0;2022-11-11T06:00:00+01:00;2012-02-22;48.83505,2.33333;Y2H16029278;
100003098-101003098;106 avenue Denfert Rochereau NE-SO;100003098;106 avenue Denfert Rochereau;43.0;2022-11-11T11:00:00+01:00;2012-02-22;48.83505,2.33333;Y2H16029278;
100003098-101003098;106 avenue Denfert Rochereau NE-SO;100003098;106 avenue Denfert Rochereau;47.0;2022-11-11T12:00:00+01:00;2012-02-22;48.83505,2.33333;Y2H16029278;
100003098-101003098;106 avenue Denfert Rochereau NE-SO;100003098;106 avenue Denfert Rochereau;69.0;2022-11-11T13:00:00+01:00;2012-02-22;48.83505,2.33333;Y2H16029278;
100003098-101003098;106 avenue Denfert Rochereau NE-SO;100003098;106 avenue Denfert Rochereau;169.0;2022-11-11T00:00:00+01:00;2012-02-22;48.83505,2.33333;Y2H16029278;
100003098-101003098;106 avenue Denfert Rochereau NE-SO;100003098;106 avenue Denfert Rochereau;21.0;2022-11-11T04:00:00+01:00;2012-02-22;48.83505,2.33333;Y2H16029278;
100003098-101003098;106 avenue Denfert Rochereau NE-SO;100003098;106 avenue Denfert Rochereau;42.0;2022-11-11T10:00:00+01:00;2012-02-22;48.83505,2.33333;Y2H16029278;
100003098-101003098;106 avenue Denfert Rochereau NE-SO;100003098;106 avenue Denfert Rochereau;107.0;2022-11-11T16:00:00+01:00;2012-02-22;48.83505,2.33333;Y2H16029278;
100003098-101003098;106 avenue Denfert Rochereau NE-SO;100003098;106 avenue Denfert Rochereau;62.0;2022-11-11T21:00:00+01:00;2012-02-22;48.83505,2.33333;Y2H16029278;
100003098-101003098;106 avenue Denfert Rochereau NE-SO;100003098;106 avenue Denfert Rochereau;33.0;2022-11-11T03:00:00+01:00;2012-02-22;48.83505,2.33333;Y2H16029278;
100003098-101003098;106 avenue Denfert Rochereau NE-SO;100003098;106 avenue Denfert Rochereau;13.0;2022-11-11T05:00:00+01:00;2012-02-22;48.83505,2.33333;Y2H16029278;
100003098-101003098;106 avenue Denfert Rochereau NE-SO;100003098;106 avenue Denfert Rochereau;14.0;2022-11-11T07:00:00+01:00;2012-02-22;48.83505,2.33333;Y2H16029278;
100003098-101003098;106 avenue Denfert Rochereau NE-SO;100003098;106 avenue Denfert Rochereau;25.0;2022-11-11T08:00:00+01:00;2012-02-22;48.83505,2.33333;Y2H16029278;
100003098-101003098;106 avenue Denfert Rochereau NE-SO;100003098;106 avenue Denfert Rochereau;31.0;2022-11-11T09:00:00+01:00;2012-02-22;48.83505,2.33333;Y2H16029278;
100003098-101003098;106 avenue Denfert Rochereau NE-SO;100003098;106 avenue Denfert Rochereau;62.0;2022-11-11T14:00:00+01:00;2012-02-22;48.83505,2.33333;Y2H16029278;
100003098-101003098;106 avenue Denfert Rochereau NE-SO;100003098;106 avenue Denfert Rochereau;97.0;2022-11-11T15:00:00+01:00;2012-02-22;48.83505,2.33333;Y2H16029278;
100003098-101003098;106 avenue Denfert Rochereau NE-SO;100003098;106 avenue Denfert Rochereau;151.0;2022-11-11T17:00:00+01:00;2012-02-22;48.83505,2.33333;Y2H16029278;
100003098-101003098;106 avenue Denfert Rochereau NE-SO;100003098;106 avenue Denfert Rochereau;122.0;2022-11-11T18:00:00+01:00;2012-02-22;48.83505,2.33333;Y2H16029278;
100003098-101003098;106 avenue Denfert Rochereau NE-SO;100003098;106 avenue Denfert Rochereau;105.0;2022-11-11T19:00:00+01:00;2012-02-22;48.83505,2.33333;Y2H16029278;
100003098-101003098;106 avenue Denfert Rochereau NE-SO;100003098;106 avenue Denfert Rochereau;92.0;2022-11-11T20:00:00+01:00;2012-02-22;48.83505,2.33333;Y2H16029278;
100003098-101003098;106 avenue Denfert Rochereau NE-SO;100003098;106 avenue Denfert Rochereau;62.0;2022-11-11T22:00:00+01:00;2012-02-22;48.83505,2.33333;Y2H16029278;
100003098-101003098;106 avenue Denfert Rochereau NE-SO;100003098;106 avenue Denfert Rochereau;84.0;2022-11-11T23:00:00+01:00;2012-02-22;48.83505,2.33333;Y2H16029278;
100006300-101006300;135 avenue Daumesnil SE-NO;100006300;135 avenue Daumesnil;12.0;2022-11-11T02:00:00+01:00;2013-01-19;48.843435,2.383378;X2H18086316;
100006300-101006300;135 avenue Daumesnil SE-NO;100006300;135 avenue Daumesnil;3.0;2022-11-11T03:00:00+01:00;2013-01-19;48.843435,2.383378;X2H18086316;
100006300-101006300;135 avenue Daumesnil SE-NO;100006300;135 avenue Daumesnil;4.0;2022-11-11T04:00:00+01:00;2013-01-19;48.843435,2.383378;X2H18086316;
100006300-101006300;135 avenue Daumesnil SE-NO;100006300;135 avenue Daumesnil;7.0;2022-11-11T05:00:00+01:00;2013-01-19;48.843435,2.383378;X2H18086316;
100006300-101006300;135 avenue Daumesnil SE-NO;100006300;135 avenue Daumesnil;113.0;2022-11-11T10:00:00+01:00;2013-01-19;48.843435,2.383378;X2H18086316;
100006300-101006300;135 avenue Daumesnil SE-NO;100006300;135 avenue Daumesnil;114.0;2022-11-11T11:00:00+01:00;2013-01-19;48.843435,2.383378;X2H18086316;
