"extract_date","tx_incid","R","taux_occupation_sae","tx_pos"
"2020-06-01",5.07875325643739,0.84,25.1,1.5664523487587
"2020-06-02",5.02507295190664,0.83,24.1,1.59122136863925
"2020-06-03",4.92069458198573,0.83,23.3,1.57034428608818
"2020-06-04",4.89981890800155,0.84,22.4,1.58781547322796
"2020-06-05",4.85508532089258,0.85,21.1,1.59624275047922
"2020-06-06",4.76860038581526,0.86,20.4,1.57306023669687
"2020-06-07",4.66720425503495,0.87,20.2,1.54794933804147
"2020-06-08",5.26663432229503,0.89,19.7,1.50712813576101
"2020-06-09",5.01761735405514,0.9,18.3,1.46805401042689
"2020-06-10",4.85806756003318,0.9,17.9,1.44801930692409
"2020-06-11",4.85657644046288,0.9,17.3,1.46488679398034
"2020-06-12",4.92964129940752,0.89,16.8,1.50376623849205
"2020-06-13",4.79544053808064,0.89,16.7,1.46738088937153
"2020-06-14",4.79544053808064,0.88,16.6,1.47256118500881
"2020-06-15",4.70448224429242,0.87,16.2,1.45336785177951
"2020-06-16",4.7253579182766,0.86,15.7,1.4655080720869
"2020-06-17",5.01314399534425,0.86,14.7,1.5593909006155
"2020-06-18",4.94455249511051,0.86,14.3,1.54556767917818
"2020-06-19",5.09366445214038,0.86,13.8,1.58272714636519
"2020-06-20",5.32777022467727,0.87,13.6,1.63740599694791
"2020-06-21",5.32031462682578,0.88,13.6,1.63686243565864
"2020-06-22",5.47091770342595,0.89,13.3,1.65732379924203
"2020-06-23",5.59915398647164,0.89,12.9,1.66309393048223
"2020-06-24",5.48732001869924,0.9,12.5,1.5955878527203
"2020-06-25",5.38145052920803,0.91,12.3,1.55622728076341
"2020-06-26",5.20102506120188,0.92,12,1.47661462390355
"2020-06-27",5.1831316263583,0.94,11.7,1.45655681032496
"2020-06-28",5.33522582252877,0.95,11.7,1.48973465402599
"2020-06-29",5.44407755116057,0.97,11.7,1.44705812409584
"2020-06-30",5.54398256237059,0.99,11.3,1.41613818583481
"2020-07-01",5.48732001869924,1.01,11,1.34873134957431
"2020-07-02",5.61108294303403,1.03,10.8,1.31139656938936
"2020-07-03",5.86457326998481,1.04,10.5,1.31675421592359
"2020-07-04",5.88544894396899,1.05,10.2,1.30413808598655
"2020-07-05",5.71844355209554,1.07,10.3,1.26626163904114
"2020-07-06",5.72589914994703,1.08,10.3,1.24998779308796
"2020-07-07",5.49477561655073,1.09,10.1,1.17779042042484
"2020-07-08",5.59915398647164,1.1,9.9,1.17467457916618
"2020-07-09",5.77063273705599,1.12,9.6,1.16664656939588
"2020-07-10",5.92869141150765,1.13,9.3,1.15851153412452
"2020-07-11",5.92869141150765,1.15,9.3,1.14751448823624
"2020-07-12",5.94807596592154,1.16,9.4,1.15114349614025
"2020-07-13",6.24331764084068,1.17,9.2,1.16926239007621
"2020-07-14",5.66327212799448,1.19,9.2,1.22848215498671
"2020-07-15",5.89290454182048,1.21,9,1.22696338979683
"2020-07-16",6.29699794537143,1.24,9,1.25792720524499
"2020-07-17",6.45654773939339,1.27,8.9,1.23463830515241
"2020-07-18",6.59522185943117,1.3,8.9,1.23678419332198
"2020-07-19",6.70705582720358,1.33,8.9,1.24713724054943
"2020-07-20",6.94265271931077,1.36,8.7,1.25159271624651
"2020-07-21",8.30553600656379,1.39,8.5,1.26167102324465
"2020-07-22",8.77672979077818,1.41,8.3,1.30940251558336
"2020-07-23",9.03320235686956,1.42,8.1,1.33862182497155
"2020-07-24",9.50290502151365,1.42,7.6,1.40487086562795
"2020-07-25",9.77279766373772,1.42,7.3,1.43804387416129
"2020-07-26",9.88164939236952,1.41,7.3,1.44592981774782
"2020-07-27",10.4691505030672,1.4,7.4,1.50370303739018
"2020-07-28",10.8732439066182,1.39,7.1,1.51972706602226
"2020-07-29",11.3235620168484,1.38,7,1.52859523828694
"2020-07-30",11.9215009645382,1.37,7.1,1.56315681424926
"2020-07-31",12.459795129416,1.37,6.9,1.5970978537803
"2020-08-01",12.7088120976559,1.36,6.8,1.6173166547751
"2020-08-02",12.6879364236717,1.36,6.8,1.61113804020177
"2020-08-03",13.5691880897182,1.36,7.1,1.69913064260747
"2020-08-04",14.5309602125609,1.36,7.2,1.81709015713308
"2020-08-05",15.2586265628667,1.36,7.1,1.91837936031525
"2020-08-06",16.1697006203192,1.36,7.2,2.02339102721987
"2020-08-07",17.1568217758569,1.36,7.1,2.14635347490636
"2020-08-08",17.4729391247602,1.36,7.2,2.18217166864064
"2020-08-09",17.7577429626873,1.36,7.3,2.21618453006802
"2020-08-10",18.9730054124807,1.37,7.4,2.36242986420299
"2020-08-11",19.9884578398541,1.38,7.3,2.50082552427788
"2020-08-12",21.3751990402319,1.39,7,2.66897785688619
"2020-08-13",23.4374174059551,1.41,6.9,2.88473538545116
"2020-08-14",25.7978596857379,1.42,6.8,3.0813262829064
"2020-08-15",25.4444643475771,1.44,7,3.15412398383752
"2020-08-16",25.8142620010112,1.45,7,3.17565138274377
"2020-08-17",29.0708671425436,1.47,7.1,3.38750397461805
"2020-08-18",32.1112599463826,1.48,7.1,3.53914090990516
"2020-08-19",35.0278898258869,1.49,7.2,3.69297280301839
"2020-08-20",37.3957877035212,1.49,7.3,3.78591516977669
"2020-08-21",39.2671427642461,1.49,7.3,3.82467550386403
"2020-08-22",41.4575974130149,1.48,7.3,3.83425133977455
"2020-08-23",41.9302823167996,1.47,7.3,3.87239281376435
"2020-08-24",44.8543677941554,1.46,7.7,4.00094167970122
"2020-08-25",47.9380030655331,1.45,7.9,4.13648376363538
"2020-08-26",50.6652607596094,1.44,7.4,4.21107163085145
"2020-08-27",54.0530844233281,1.43,7.4,4.31390983035921
"2020-08-28",57.7585165555204,1.41,7.5,4.45396780862714
"2020-08-29",58.9260631790642,1.4,7.8,4.4794475672943
"2020-08-30",59.3898013654271,1.39,7.8,4.49723023280497
"2020-08-31",63.1220736498848,1.38,8,4.64846096322805
"2020-09-01",66.1893066059892,1.36,8.3,4.80430589798927
"2020-09-02",69.7620290964249,1.36,8.7,5.01233665846365
"2020-09-03",73.2855446410408,1.35,9.1,5.23884900521774
"2020-09-04",76.9686099796786,1.34,9.2,5.43412577930404
"2020-09-05",78.5059542566565,1.32,9.4,5.50361949562263
"2020-09-06",78.7355866704825,1.31,9.5,5.51989663326343
"2020-09-07",82.8853724346238,1.3,10.5,5.69288957211666
"2020-09-08",87.0679628293117,1.29,11.2,5.75354478898775
"2020-09-09",90.4468397756086,1.28,11.7,5.77624651108311
"2020-09-10",93.8540479937411,1.27,12,5.76783858629215
"2020-09-11",95.6314625215372,1.26,12.4,5.68567358130769
"2020-09-12",96.2875551324686,1.25,12.9,5.68976531282078
"2020-09-13",96.4262292525064,1.23,13.1,5.69628337043239
"2020-09-14",100.107803471574,1.22,13.9,5.78798537830195
"2020-09-15",102.899179307173,1.21,14.9,5.85272849710875
"2020-09-16",106.061843915777,1.2,15.7,5.9959503795044
"2020-09-17",108.578853750441,1.19,15.7,6.18728656508177
"2020-09-18",111.565566249749,1.18,16.2,6.45777159409082
"2020-09-19",112.636190101224,1.16,16.4,6.56747094377943
"2020-09-20",112.989585439384,1.14,16.5,6.58839138913983
"2020-09-21",114.356942085348,1.12,18,6.86330398301088
"2020-09-22",115.381341230144,1.1,18.7,7.21585456946306
"2020-09-23",114.710337423509,1.08,19.7,7.48162635340616
"2020-09-24",113.193868820515,1.06,20.6,7.69013356835691
"2020-09-25",111.693802532795,1.04,21.6,7.87425744551797
"2020-09-26",111.085425748113,1.02,21.8,7.9174774770945
"2020-09-27",110.463628887298,1.01,22,7.92172906940188
"2020-09-28",107.599188192755,1,22.9,7.93123914620474
"2020-09-29",105.459431609376,1,23.7,7.99106492168248
"2020-09-30",105.939572111012,1.02,24.4,8.18443106874406
"2020-10-01",108.781646012001,1.04,24.9,8.53844659330576
"2020-10-02",114.61490577101,1.07,25.1,9.05386972981505
"2020-10-03",118.221924011563,1.1,25.5,9.30860556421768
"2020-10-04",119.10764903632,1.15,26.4,9.36743596960315
"2020-10-05",130.596725325472,1.19,27.9,10.1317147206759
"2020-10-06",140.834752295142,1.24,28,10.7579631981502
"2020-10-07",151.837723604377,1.28,27.8,11.3688685838821
"2020-10-08",163.607130372744,1.32,28,11.8849728821013
"2020-10-09",175.334785793144,1.35,28.4,12.260291112316
"2020-10-10",181.430482596525,1.37,28.8,12.4513276238056
"2020-10-11",183.277979744125,1.38,29.3,12.5134003426823
"2020-10-12",198.57835765496,1.39,30.4,13.002810014509
"2020-10-13",211.868706385032,1.4,32.3,13.3511302046922
"2020-10-14",223.903532436913,1.4,32.9,13.5251036509079
"2020-10-15",238.046801561196,1.41,34.4,13.7780535714902
"2020-10-16",252.264626663994,1.41,35.4,14.0636053565031
"2020-10-17",258.18138911894,1.42,36.9,14.1762596407343
"2020-10-18",260.391228322122,1.43,38.3,14.2287362980744
"2020-10-19",280.566076108264,1.44,41.3,14.8767845057148
"2020-10-20",303.949813209688,1.45,42.9,15.7443702522235
"2020-10-21",330.612522246199,1.46,44.3,16.7096741130845
"2020-10-22",358.97212535371,1.47,45.7,17.6817865993299
"2020-10-23",391.332402268333,1.47,48.1,18.6874189142809
"2020-10-24",406.010983318353,1.46,49.2,19.1488688365145
"2020-10-25",409.88640308156,1.45,50.9,19.2726474728948
"2020-10-26",444.802458939674,1.43,54.6,20.1805486682439
"2020-10-27",470.375159570297,1.4,57.5,20.7190597668596
"2020-10-28",485.556247915508,1.37,60,20.9979629592611
"2020-10-29",493.075963908524,1.33,62.2,21.1386048105309
"2020-10-30",497.735712565708,1.29,66.6,21.2126007169579
"2020-10-31",499.350595060341,1.25,68.1,21.2066157361203
"2020-11-01",498.782478504058,1.2,70.6,21.1965558495808
"2020-11-02",500.568839749275,1.16,73.6,21.2290594647646
"2020-11-03",496.914105682473,1.11,76.5,21.1445971188695
"2020-11-04",486.659676397529,1.07,80.7,20.9583218547137
"2020-11-05",472.722181773947,1.02,83.5,20.5745893356749
"2020-11-06",452.350506204526,0.98,85.4,20.0898125472671
"2020-11-07",439.772912629057,0.93,87.2,19.8392961048309
"2020-11-08",435.904948463702,0.89,89.5,19.7906885586838
"2020-11-09",402.232486327216,0.84,92.5,18.9595817747583
"2020-11-10",369.596352292089,0.8,93.6,18.0346249665305
"2020-11-11",302.974621010713,0.76,94.7,17.5338555307506
"2020-11-12",287.244800663632,0.72,96.6,17.0982722168276
"2020-11-13",263.143835048894,0.69,96.6,16.5871805909854
"2020-11-14",252.638897676139,0.66,96,16.3724352389686
"2020-11-15",250.093556569639,0.64,96.5,16.3153379079029
"2020-11-16",222.155940300523,0.62,96.9,15.6710083295555
"2020-11-17",197.123024954348,0.61,95.7,15.1657647756592
"2020-11-18",213.148086976348,0.6,94.1,14.8648648648649
"2020-11-19",182.147711109838,0.59,91.7,14.1283353188143
"2020-11-20",160.946973059331,0.58,90.3,13.4695466723904
"2020-11-21",153.536108794947,0.58,88.8,13.1837923104895
"2020-11-22",151.937628615587,0.57,88.8,13.1058707921531
"2020-11-23",132.576932114828,0.57,87.7,12.2558776824508
"2020-11-24",119.923291441273,0.57,84.6,11.7606544144313
"2020-11-25",111.935363903183,0.57,81.8,11.4511653591112
"2020-11-26",104.715362943797,0.57,79.2,11.171419390349
"2020-11-27",98.8388607172497,0.57,76.5,10.9509491318211
"2020-11-28",97.1777535159369,0.58,74.4,10.8829099021772
