1;Ain;Rhône-Alpes;5762;565000;
2;Aisne;Picardie;7369;535489;
3;Allier;Auvergne;7340;342284;
4;AlpesdeHauteProvence;ProvenceAlpesCôted'Azur;6925;153000;
5;Hautes-Alpes;ProvenceAlpesCôted'Azur;5549;132000;
6;Alpes-Maritimes;ProvenceAlpesCôted'Azur;4299;1070000;
7;Ardèche;RhôneAlpes;5529;286023;
8;Ardennes;ChampagneArdenne;5229;290130;
9;Ariège;Midi-Pyrénées;4890;137205;
10;Aube;ChampagneArdenne;6004;292131;
11;Aude;LanguedocRoussillon;6139;309770;
12;Aveyron;Midi-Pyrénées;8735;271200;
13;BouchesduRhône;ProvenceAlpesCôted'Azur;5087;1906000;
14;Calvados;Basse-Normandie;5548;664000;
15;Cantal;Auvergne;5726;150772;
16;Charente;Poitou-Charentes;5956;339628;
17;CharenteMaritime;Poitou-Charentes;6864;557024;
18;Cher;Centre;7235;314428;
19;Corrèze;Limousin;5857;232576;
21;Côte-d'Or;Bourgogne;8763;506755;
22;Côtes-d'Armor;Bretagne;6878;569500;
23;Creuse;Limousin;5565;124470;
24;Dordogne;Aquitaine;9060;401500;
25;Doubs;Franche-Comté;5234;499062;
26;Drôme;RhôneAlpes;6530;457651;
27;Eure;Haute-Normandie;6040;541054;
28;Eure-et-Loir;Centre;5880;417000;
29;Finistère;Bretagne;6733;852418;
30;Gard;LanguedocRoussillon;5853;623125;
31;Haute-Garonne;Midi-Pyrénées;6309;1135000;
32;Gers;Midi-Pyrénées;6257;178000;
33;Gironde;Aquitaine;10000;1376000;
34;Hérault;LanguedocRoussillon;6224;992500;
35;Ille-et-Vilaine;Bretagne;6775;930000;
36;Indre;Centre;6791;232000;
37;Indre-et-Loire;Centre;6127;571500;
38;Isère;Rhône-Alpes;7431;1172000;
39;Jura;Franche-Comté;4999;250857;
40;Landes;Aquitaine;9243;327334;
41;Loir-et-Cher;Centre;6343;314968;
42;Loire;Rhône-Alpes;4781;732000;
43;Haute-Loire;Auvergne;4977;209113;
44;Loire-Atlantique;PaysdelaLoire;6815;1209000;
45;Loiret;Centre;6775;645000;
46;Lot;Midi-Pyrénées;5217;168500;
47;Lot-et-Garonne;Aquitaine;5361;305380;
48;Lozère;LanguedocRoussillon;5167;77000;
49;Maine-et-Loire;PaysdelaLoire;7166;782225;
50;Manche;Basse-Normandie;5938;489500;
51;Marne;ChampagneArdenne;8162;565229;
52;Haute-Marne;ChampagneArdenne;6211;186500;
53;Mayenne;PaysdelaLoire;5175;285338;
54;Meurthe-et-Moselle;Lorraine;5246;723000;
55;Meuse;Lorraine;6211;192198;
56;Morbihan;Bretagne;6823;643873;
57;Moselle;Lorraine;6216;1039500;
58;Nièvre;Bourgogne;6817;225198;
59;Nord;NordPasdeCalais;5743;2577000;
60;Oise;Picardie;5860;780000;
61;Orne;Basse-Normandie;6103;292337;
62;Pas-de-Calais;NordPasdeCalais;6671;1456000;
63;Puy-de-Dôme;Auvergne;7970;621000;
64;PyrénéesAtlantiques;Aquitaine;7645;600018;
65;Hautes-Pyrénées;Midi-Pyrénées;4464;222368;
66;Pyrénées-Orientales;LanguedocRoussillon;4116;426000;
67;Bas-Rhin;Alsace;4755;1063000;
68;Haut-Rhin;Alsace;3525;731000;
69;Rhône;RhôneAlpes;3249;1667500;
70;Haute-Saône;Franche-Comté;5360;229732;
71;Saône-et-Loire;Bourgogne;8575;544893;
72;Sarthe;PaysdelaLoire;6206;529851;
73;Savoie;Rhône-Alpes;6028;392156;
74;Haute-Savoie;RhôneAlpes;4388;631679;
75;Paris;Île-de-France;105;2166200;
76;Seine-Maritime;Haute-Normandie;6278;1245000;
77;Seine-et-Marne;Île-de-France;5915;1260000;
78;Yvelines;Île-de-France;2284;1395000;
79;Deux-Sèvres;Poitou-Charentes;5999;352000;
80;Somme;Picardie;6170;555551;
81;Tarn;Midi-Pyrénées;5758;360000;
82;Tarn-et-Garonne;Midi-Pyrénées;3718;222999;
83;Var;ProvenceAlpesCôted'Azur;5973;990000;
84;Vaucluse;ProvenceAlpesCôted'Azur;3567;529000;
85;Vendée;PaysdelaLoire;7016;610000;
86;Vienne;Poitou-Charentes;6990;399024;
87;Haute-Vienne;Limousin;5520;353893;
88;Vosges;Lorraine;5874;380952;
89;Yonne;Bourgogne;7427;341000;
90;TerritoiredeBelfort;Franche-Comté;609;137408;
91;Essonne;Île-de-France;1804;1188000;
92;Hauts-de-Seine;Île-de-France;176;1517000;
93;SeineSaintDenis;Île-de-France;236;1485000;
94;Val-de-Marne;Île-de-France;245;1279000;
95;Val-d'Oise;Île-de-France;1246;1105464;
971;Guadeloupe;Guadeloupe;1800;453000;
972;Martinique;Martinique;1128;401000;
973;Guyane;Guyane;86504;230000;
974;LaRéunion;LaRéunion;2512;785200;
2A;Corse-du-Sud;Corse;4014;118593;
2B;Haute-Corse;Corse;4666;148000;
