rang;type_de_document;nombre_de_reservations;titre_avec_lien_vers_le_catalogue;auteur
7;;420;Cinquante nuances plus sombres : roman;James, E.L.
8;Nouveauté;412;Au revoir là-haut : roman;Lemaitre, Pierre
10;;408;Immortelle randonnée : Compostelle malgré moi;Rufin, Jean-Christophe
13;Livre de section jeunesse > 12 ans;390;La révolte;Collins, Suzanne
15;;376;Quai d'Orsay : chroniques diplomatiques. 2;Lanzac, Abel
19;;342;Peste & choléra : roman;Deville, Patrick
33;Livre pour adulte;265;L'hiver du monde : roman;Follett, Ken
38;Livre pour adulte;250;Etranges rivages;Arnaldur Indridason
44;DVD en audio-description;236;Dans la maison;
46;Nouveauté;232;La nostalgie heureuse;Nothomb, Amélie
47;Nouveauté;230;Les lisières;Adam, Olivier
48;DVD-vidéo tous publics;226;Skyfall;
51;DVD-vidéo tous publics;217;Hunger Games;
54;;207;Le grand Coeur : roman;Rufin, Jean-Christophe
59;DVD-vidéo tous publics;195;Happiness Therapy;
86;DVD-vidéo tous publics;153;Polisse;
96;Livre pour adulte;146;Le cinquième témoin;Connelly, Michael
99;Livre pour adulte;144;Confiteor;Cabré, Jaume
102;Livre pour adulte;140;7 ans après...;Musso, Guillaume
106;Revue pour adulte;136;Que choisir ?;
113;Livre pour adulte;132;Kaïken : roman;Grangé, Jean-Christophe
114;DVD-vidéo tous publics;132;The Master;
116;DVD-vidéo tous publics;130;Les femmes du bus 678;
117;Bande dessinée pour adulte;129;Aya de Yopougon. 3;Abouet, Marguerite
130;;124;Ladivine : roman;NDiaye, Marie
131;Nouveauté disque compact;123;21;Adele
133;DVD-vidéo tous publics;123;Jason Bourne : l'héritage;
144;DVD-vidéo tous publics;119;Cloud Atlas;
157;Livre pour adulte;113;New York : 2013;Gloaguen, Philippe
158;Nouveauté;113;Complètement cramé !;Legardinier, Gilles
162;Bande dessinée jeunesse;112;Aube et crépuscule;Sobral, Patrick
163;Nouveauté;112;Limonov;Carrère, Emmanuel
165;;112;Un été avec Montaigne;Compagnon, Antoine
168;DVD jeunesse;111;Moi, moche et méchant;
171;Bande dessinée jeunesse;110;Coeur du passé;Sobral, Patrick
176;Nouveauté;110;Un vaste monde;Kirkman, Robert
180;Bande dessinée pour adulte;109;Sains et saufs ?;Kirkman, Robert
187;DVD-vidéo tous publics;108;Les femmes du 6e étage;
192;Livre pour adulte;107;7 jours : roman;Meyer, Deon
194;Nouveauté;106;Home;Morrison, Toni
195;Nouveauté disque compact;106;Tetra;
203;Nouveauté;105;La grâce des brigands;Ovaldé, Véronique
205;Bande dessinée pour adulte;103;Pyongyang;Delisle, Guy
209;DVD-vidéo tous publics;102;J. Edgar;
211;Nouveauté;102;Plonger : roman;Ono-dit-Biot, Christophe
221;;100;Fleur de tonnerre : roman;Teulé, Jean
231;Bande dessinée pour adulte;98;Transperceneige : intégrale;Lob, Jacques
235;DVD-vidéo tous publics;96;Minuit à Paris;
239;Livre pour adulte;95;Petit traité de manipulation à l'usage des honnêtes gens;Joule, Robert-Vincent
249;DVD-vidéo tous publics;94;Barbara;
250;DVD-vidéo tous publics;94;Mud;
254;DVD-vidéo tous publics;93;Homeland. Saison 1. épisodes 7 à 12;
255;Bande dessinée jeunesse >12 ans;92;Je crois que je t'aime;Lyfoung, Patricia
264;Disque compact;90;Coming from reality;Rodriguez
269;DVD-vidéo tous publics;89;THE descendants;
270;Livre pour adulte;89;A découvert;Coben, Harlan
274;DVD-vidéo tous publics;89;Flight;
279;Livre pour adulte;88;Notre-Dame du Nil : roman;Mukasonga, Scholastique
300;Livre pour adulte;85;La faille souterraine : et autres enquêtes;Mankell, Henning
311;Livre pour adulte;83;Syngué sabour : pierre de patience;Rahimi, Atiq
327;Nouveauté;81;De là, on voit la mer : roman;Besson, Philippe
328;Nouveauté disque compact;81;Unorthodox jukebox;Mars, Bruno
332;Livre de Fonds spécialisés;80;Le diable, tout le temps : roman;Pollock, Donald Ray
334;;80;Volte-face : roman;Connelly, Michael
339;DVD jeunesse;80;Ernest et Célestine;
345;Livre pour adulte;78;La bataille du labyrinthe;Riordan, Rick
358;Bande dessinée jeunesse >12 ans;76;Je veux que tu m'aimes !;Lyfoung, Patricia
360;Livre pour adulte;76;Venise : 2013;Gloaguen, Philippe
372;Bande dessinée pour adulte;74;Deuil & espoir;Kirkman, Robert
373;Disque compact;74;Different pulses;Avidan, Asaf
374;Livre pour adulte;74;Naissance : roman;Moix, Yann
375;Nouveauté;73;Walking dead. 13;Kirkman, Robert
395;Bande dessinée pour adulte;70;Honneur et police;Nury, Fabien
396;Bande dessinée jeunesse;70;Chi, une vie de chat. 2;Konami, K.
399;Nouveauté;70;Nouilles froides à Pyongyang : récit de voyage;Coatalem, Jean-Luc
401;Livre pour adulte;69;Middlesex;Eugenides, Jeffrey
406;DVD-vidéo tous publics;69;La Piel que habito;
409;DVD-vidéo tous publics;69;Indian Palace;
414;DVD-vidéo tous publics;68;Les Soprano . Intégrale Saison 1;
427;DVD-vidéo tous publics;67;The Social network;
431;DVD-vidéo tous publics;67;Twilight - Chapitre V : Révélation;
434;DVD- vidéo > 12 ans;67;Gangster Squad;
442;DVD-vidéo tous publics;66;Harry Potter et les reliques de la mort;
448;Nouveauté disque compact;66;The Next day;Bowie, David
450;DVD- vidéo > 12 ans;66;Only God Forgives;
455;;65;Coucher de soleil;Hunter, Erin
456;DVD-vidéo tous publics;65;Breaking bad. Saison 1. épisodes 1 à 6;
460;;65;Oh... : roman;Djian, Philippe
467;Nouveauté;65;Transatlantic;McCann, Colum
473;DVD-vidéo tous publics;64;Girls : saison 1;
476;Bande dessinée jeunesse;63;La quatrième dimension et demie;Vehlmann, Fabien
478;;63;Le sel de la vie : lettre à un ami;Héritier, Françoise
479;DVD-vidéo tous publics;63;Cheval de guerre;
493;Nouveauté disque compact;62;Philharmonics;Obel, Agnes
500;DVD-vidéo tous publics;62;Après mai;
502;Bande dessinée pour adulte;61;Shenzhen;Delisle, Guy
506;Nouveauté;61;Indignez-vous !;Hessel, Stéphane
510;DVD-vidéo tous publics;61;Les infidèles;
512;DVD-vidéo tous publics;61;Vous n'avez encore rien vu;
513;Nouveauté;61;Vert-de-gris;Kerr, Philip
1;Livre pour adulte;1083;La vérité sur l'affaire Harry Quebert : roman;Dicker, Joël
5;Livre pour adulte;446;Le bleu est une couleur chaude;Maroh, Julie
14;Nouveauté;376;1Q84. 1. Avril-juin;Murakami, Haruki
16;Livre de section jeunesse > 12 ans;352;Hunger games;Collins, Suzanne
20;Nouveauté;322;1Q84. 2. Juillet-septembre;Murakami, Haruki
26;Livre pour adulte;277;Demain;Musso, Guillaume
28;;274;La sirène;Läckberg, Camilla
35;Nouveauté;257;Canada : roman;Ford, Richard
36;DVD- vidéo > 12 ans;254;Django Unchained;
56;Nouveauté;200;Petite Poucette : le monde a tellement changé que les jeunes doivent tout réinventer : une manière de vivre ensemble, des institutions, une manière d'être et de connaître...;Serres, Michel
60;;191;A moi seul bien des personnages : roman;Irving, John
63;Nouveauté;186;La couleur des sentiments;Stockett, Kathryn
64;Livre pour adulte;184;La ronde des mensonges : roman;George, Elizabeth
65;;184;22-11-63 : roman;King, Stephen
66;DVD-vidéo tous publics;183;Habemus Papam;
67;DVD-vidéo tous publics;183;Holy Motors;
68;Nouveauté disque compact;181;Racine carrée;Stromae
75;DVD-vidéo tous publics;170;To Rome with love;
81;DVD-vidéo tous publics;163;Populaire;
83;Nouveauté;158;Le bûcher d'un roi;Martin, George R.R.
85;DVD-vidéo tous publics;155;Game of Thrones;
88;DVD-vidéo tous publics;152;Une séparation;
91;;151;Où es-tu ?;Lyfoung, Patricia
94;DVD- vidéo > 12 ans;147;Prometheus;
100;;142;Indigo;Cusset, Catherine
107;;136;Journal d'un corps;Pennac, Daniel
108;Nouveauté;134;Un jour je m'en irai, sans en avoir tout dit;Ormesson, Jean d'
112;Bande dessinée pour adulte;132;Aya de Yopougon. 4;Abouet, Marguerite
115;Bande dessinée pour adulte;130;Aya de Yopougon. 1;Abouet, Marguerite
119;Nouveauté;128;L'oiseau de mauvais augure;Läckberg, Camilla
121;DVD-vidéo tous publics;127;Intouchables;
123;Bande dessinée pour adulte;126;Chroniques birmanes;Delisle, Guy
125;DVD-vidéo tous publics;126;Adieu Berthe ou l'enterrement de mémé;
127;Bande dessinée pour adulte;125;Aya de Yopougon. 2;Abouet, Marguerite
140;Nouveauté disque compact;120;Searching for sugar man;
145;Nouveauté;119;Nue;Toussaint, Jean-Philippe
149;Disque compact;117;The next day;Bowie, David
159;DVD-vidéo tous publics;113;Killer Joe;
164;DVD-vidéo tous publics;112;Cosmopolis;
181;Livre pour adulte;109;Le tailleur de pierre;Läckberg, Camilla
183;DVD jeunesse;109;Rebelle;
207;Nouveauté disque compact;103;The golden age;
212;Bande dessinée jeunesse;101;Griffes et plumes;Sobral, Patrick
213;DVD-vidéo tous publics;101;La couleur des sentiments;
215;Nouveauté;101;L'herbe des nuits : roman;Modiano, Patrick
216;DVD-vidéo tous publics;101;No;
227;Disque compact;98;An awesome wave;
229;DVD-vidéo tous publics;98;Paperboy;
238;Disque compact;96;Aventine;Obel, Agnes
242;DVD-vidéo tous publics;95;Jack Reacher;
266;DVD-vidéo tous publics;90;Carnage;
268;Nouveauté;90;Petites scènes capitales;Germain, Sylvie
272;Livre pour adulte;89;Dans le jardin de la bête;Larson, Erik
277;Nouveauté;89;La fin de l'homme rouge ou Le temps du désenchantement;Alexievitch, Svetlana
